model name,f1_score,precision_score,recall_score,subject
Layered FP + Ridge Classifier,0.888888888888889,1.0,0.8,cv_4_task_6
Layered FP + Ridge Classifier,0.8,1.0,0.6666666666666666,cv_4_task_7
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_4_task_8
Layered FP + Ridge Classifier,0.896551724137931,0.8666666666666667,0.9285714285714286,cv_4_task_9
Layered FP + Ridge Classifier,0.6,0.6,0.6,cv_4_task_10
Layered FP + Ridge Classifier,0.888888888888889,1.0,0.8,cv_4_task_11
Layered FP + Ridge Classifier,0.9473684210526315,0.9473684210526315,0.9473684210526315,cv_4_task_12
Layered FP + Ridge Classifier,0.9876543209876543,1.0,0.975609756097561,cv_4_task_13
Layered FP + Ridge Classifier,0.9743589743589743,1.0,0.95,cv_4_task_14
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_0
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_1
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_2
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_3
NPClassifierFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_0_task_4
NPClassifierFP + Ridge Classifier,0.5714285714285715,0.4,1.0,cv_0_task_5
NPClassifierFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_0_task_6
NPClassifierFP + Ridge Classifier,0.8571428571428571,1.0,0.75,cv_0_task_7
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_8
NPClassifierFP + Ridge Classifier,0.8571428571428571,1.0,0.75,cv_0_task_9
NPClassifierFP + Ridge Classifier,0.5,0.5,0.5,cv_0_task_10
NPClassifierFP + Ridge Classifier,0.9230769230769231,0.9230769230769231,0.9230769230769231,cv_0_task_11
NPClassifierFP + Ridge Classifier,0.9545454545454545,0.9767441860465116,0.9333333333333333,cv_0_task_12
NPClassifierFP + Ridge Classifier,0.9863013698630138,1.0,0.972972972972973,cv_0_task_13
NPClassifierFP + Ridge Classifier,0.9444444444444444,1.0,0.8947368421052632,cv_0_task_14
NPClassifierFP + Ridge Classifier,0.9411764705882353,1.0,0.8888888888888888,cv_1_task_0
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_1
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_2
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_3
NPClassifierFP + Ridge Classifier,0.6666666666666666,1.0,0.5,cv_1_task_4
NPClassifierFP + Ridge Classifier,0.7999999999999999,0.8571428571428571,0.75,cv_1_task_5
NPClassifierFP + Ridge Classifier,0.6153846153846154,0.8,0.5,cv_1_task_6
NPClassifierFP + Ridge Classifier,0.5714285714285715,1.0,0.4,cv_1_task_7
NPClassifierFP + Ridge Classifier,0.888888888888889,1.0,0.8,cv_1_task_8
NPClassifierFP + Ridge Classifier,0.9,0.9,0.9,cv_1_task_9
NPClassifierFP + Ridge Classifier,0.6666666666666666,1.0,0.5,cv_1_task_10
NPClassifierFP + Ridge Classifier,0.888888888888889,0.9230769230769231,0.8571428571428571,cv_1_task_11
NPClassifierFP + Ridge Classifier,0.975,0.9512195121951219,1.0,cv_1_task_12
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_13
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_14
NPClassifierFP + Ridge Classifier,0.9333333333333333,1.0,0.875,cv_2_task_0
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_1
NPClassifierFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_2
NPClassifierFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_3
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_4
NPClassifierFP + Ridge Classifier,0.3333333333333333,0.3333333333333333,0.3333333333333333,cv_2_task_5
NPClassifierFP + Ridge Classifier,0.8,1.0,0.6666666666666666,cv_2_task_6
NPClassifierFP + Ridge Classifier,0.7058823529411764,1.0,0.5454545454545454,cv_2_task_7
NPClassifierFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_8
NPClassifierFP + Ridge Classifier,0.8181818181818182,0.8181818181818182,0.8181818181818182,cv_2_task_9
NPClassifierFP + Ridge Classifier,0.33333333333333337,1.0,0.2,cv_2_task_10
NPClassifierFP + Ridge Classifier,0.875,0.875,0.875,cv_2_task_11
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_12
NPClassifierFP + Ridge Classifier,0.9850746268656716,0.9705882352941176,1.0,cv_2_task_13
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_14
NPClassifierFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_3_task_0
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_1
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_2
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_3
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_4
NPClassifierFP + Ridge Classifier,0.6,0.75,0.5,cv_3_task_5
NPClassifierFP + Ridge Classifier,0.888888888888889,1.0,0.8,cv_3_task_6
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_7
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_8
NPClassifierFP + Ridge Classifier,0.8571428571428571,0.75,1.0,cv_3_task_9
NPClassifierFP + Ridge Classifier,0.6666666666666666,1.0,0.5,cv_3_task_10
NPClassifierFP + Ridge Classifier,0.9,0.9,0.9,cv_3_task_11
NPClassifierFP + Ridge Classifier,0.9787234042553191,0.9787234042553191,0.9787234042553191,cv_3_task_12
NPClassifierFP + Ridge Classifier,0.9655172413793104,0.9655172413793104,0.9655172413793104,cv_3_task_13
NPClassifierFP + Ridge Classifier,0.9411764705882353,1.0,0.8888888888888888,cv_3_task_14
NPClassifierFP + Ridge Classifier,0.8571428571428572,0.8181818181818182,0.9,cv_4_task_0
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_4_task_1
NPClassifierFP + Ridge Classifier,0.9090909090909091,1.0,0.8333333333333334,cv_4_task_2
NPClassifierFP + Ridge Classifier,0.9090909090909091,1.0,0.8333333333333334,cv_4_task_3
NPClassifierFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_4_task_4
NPClassifierFP + Ridge Classifier,0.5714285714285715,1.0,0.4,cv_4_task_5
NPClassifierFP + Ridge Classifier,0.6666666666666665,0.75,0.6,cv_4_task_6
NPClassifierFP + Ridge Classifier,0.8,1.0,0.6666666666666666,cv_4_task_7
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_4_task_8
NPClassifierFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_4_task_9
NPClassifierFP + Ridge Classifier,0.5714285714285715,1.0,0.4,cv_4_task_10
NPClassifierFP + Ridge Classifier,0.7777777777777777,0.875,0.7,cv_4_task_11
NPClassifierFP + Ridge Classifier,0.9487179487179489,0.925,0.9736842105263158,cv_4_task_12
NPClassifierFP + Ridge Classifier,0.975609756097561,0.975609756097561,0.975609756097561,cv_4_task_13
