compound,precursor
C01265,C05903;C00079
C04444,C05903;C00079
C04024,C01477;C00079
C01470,C01477;C00079
C04608,C01477;C00079
C04293,C01477;C00079
C03951,C01477;C00079
C03515,C01477;C00079
C01714,C01477;C00079
C04199,C01477;C00079
C04858,C01477;C00079
C05622,C01477;C00079
C05625,C05903;C00079
C12249,C05903;C00079
C12638,C05903;C00079
C12634,C05903;C00079
C12635,C05903;C00079
C12636,C05903;C00079
C10098,C05903;C00079
C12626,C05903;C00079
C03898,C05903;C00079
C10175,C05903;C00079
C12667,C05903;C00079
C12668,C05903;C00079
C12637,C05903;C00079
C12633,C05903;C00079
C11620,C05903;C00079
C12628,C01477;C00079
C12629,C01477;C00079
C12627,C01477;C00079
C12632,C01477;C00079
C04900,C01477;C00079
C12630,C01477;C00079
C16490,C05903;C00079
C16911,C05903;C00079
C01750,C05903;C00079
C19796,C05903;C00079
C21833,C05903;C00079
C21854,C05903;C00079
