"",0
C22058,C00353
C22059,C00353
C22060,C00353
C22347,C00353
C22349,C00353
C22348,C00353
C22346,C00353
C15784,C01789
C15785,C01789
C15786,C01789
C15789,C01789
C15790,C01789
C15791,C01789
C15792,C01789
C15795,C01789
C15796,C01789
C15797,C01789
C15798,C01789
C15799,C01789
C15800,C01789
C15802,C01789
C15803,C01789
C15794,C01789
C15787,C01789
C15801,C01789
C15793,C01789
C15788,C01789
C08814,C01789
C16252,C01789
C16253,C01789
C16251,C01789
C17733,C01789
C17735,C01789
C19873,C01789
C19874,C01789
C17324,C00235
C04432,C00235
C00371,C00235
C03423,C00235
C00190,C00079
C03300,C00235
C00979,C00235
C01513,C00235
C04083,C00235
C00170,C00235
C01804,C00235
C04713,C00235
C02029,C00235
C00147,C00235
C15545,C00235
C15546,C00235
C16424,C00235
C16426,C00235
C16428,C00235
C16429,C00235
C16430,C00235
C16445,C00235
C16427,C00235
C16431,C00235
C16447,C00235
C00121,C00235
C16443,C00235
C16448,C00235
C16467,C00235
C16441,C00235
C16449,C00235
C00423,C00079
C00811,C00079
C05608,C00079
C00223,C00079
C10945,C00079
C00323,C00079
C00406,C00079
C01197,C00079
C00296,C00079
C00852,C00079
C02666,C00079
C01494,C00079
C05610,C00079
C00411,C00079
C00482,C00079
C00540,C00079
C05619,C00079
C01175,C00079
C00933,C00079
C00114,C00079
C00493,C00079
C02947,C00079
C00903,C00079
C00590,C00079
C00761,C00079
C05627,C00079
C00149,C00079
C02887,C00079
C04366,C00079
C06224,C00079
C01533,C00079
C02325,C00079
C02646,C00079
C05855,C00079
C12208,C00079
C12203,C00079
C12204,C00079
C12205,C00079
C12206,C00079
C10434,C00079
C10469,C00079
C10478,C00079
C00315,C00079
C18069,C00079
C18070,C00079
C18071,C00079
C18072,C00079
C18073,C00079
C20225,C00079
C10453,C00079
C20465,C00079
C16930,C00079
C10454,C00079
C10452,C00079
C20464,C00079
C10428,C00079
C00083,C00079
C06561,C00079
C01617,C00079
C00389,C00079
C00509,C00079
C05631,C00079
C00974,C00079
C01477,C00079
C09099,C00079
C03648,C00079
C05903,C00079
C01514,C00079
C05906,C00079
C02906,C00079
C05904,C00079
C05907,C00079
C05911,C00079
C05905,C00079
C05908,C00079
C05909,C00079
C06562,C00079
C12127,C00079
C10107,C00079
C12128,C00079
C09727,C00079
C12136,C00079
C10192,C00079
C08650,C00079
C09762,C00079
C12124,C00079
C09320,C00079
C02199,C00079
C09789,C00079
C01460,C00079
C12123,C00079
C16404,C00079
C15525,C00079
C16405,C00079
C09827,C00079
C09756,C00079
C09826,C00079
C08578,C00079
C09614,C00079
C09751,C00079
C01378,C00079
C16415,C00079
C09736,C00079
C00235,C00079
C16416,C00079
C16417,C00079
C16407,C00079
C16408,C00079
C16409,C00079
C16410,C00079
C16406,C00079
C01709,C00079
C16422,C00079
C09806,C00079
C16418,C00079
C16419,C00079
C10028,C00079
C10044,C00079
C16492,C00079
C09833,C00079
C00774,C00079
C01604,C00079
C21913,C00079
C05334,C00079
C22048,C00079
C04443,C00079
C05623,C00079
C00616,C00079
C01155,C00079
C01156,C00079
C03897,C00079
C01265,C00079
C04444,C00079
C04024,C00079
C01470,C00079
C04608,C00079
C04293,C00079
C03951,C00079
C00167,C00082
C03515,C00079
C01714,C00079
C04199,C00079
C01623,C00079
C04858,C00079
C05622,C00079
C05625,C00079
C12249,C00079
C12638,C00079
C12634,C00079
C12635,C00079
C12636,C00079
C10098,C00079
C00052,C00079
C12626,C00079
C03898,C00079
C10175,C00079
C12667,C00079
C12668,C00079
C12637,C00079
C12633,C00079
C11620,C00079
C12628,C00079
C12629,C00079
C12627,C00079
C12632,C00079
C04900,C00079
C12630,C00079
C00191,C00079
C16490,C00079
C16911,C00079
C01750,C00079
C19796,C00079
C21833,C00079
C21854,C00079
C12137,C00079
C08604,C00079
C12138,C00079
C12095,C00079
C08639,C00079
C12096,C00079
C12141,C00079
C12139,C00079
C12140,C00079
C12640,C00079
C12641,C00079
C12647,C00079
C12642,C00079
C12644,C00079
C12645,C00079
C12643,C00079
C08620,C00079
C12646,C00079
C16297,C00079
C08725,C00079
C16305,C00079
C16306,C00079
C16307,C00079
C16349,C00079
C16350,C00079
C16312,C00079
C16351,C00079
C16288,C00079
C16289,C00079
C16301,C00079
C16290,C00079
C16292,C00079
C16293,C00079
C16315,C00079
C16294,C00079
C16295,C00079
C16296,C00079
C16298,C00079
C16299,C00079
C16314,C00079
C16304,C00079
C16303,C00079
C16302,C00079
C16313,C00079
C16354,C00079
C08641,C00079
C16367,C00079
C16368,C00079
C16369,C00079
C16370,C00079
C16371,C00079
C16372,C00079
C16373,C00079
C19762,C00079
C20470,C00079
C06672,C00079
C20469,C00079
C20489,C00079
C20490,C00079
C20491,C00079
C20492,C00079
C20493,C00079
C20494,C00079
C20495,C00079
C20496,C00079
C06563,C00079
C00814,C00079
C09126,C00079
C02675,C00079
C00858,C00079
C01562,C00079
C04271,C00079
C01263,C00079
C03567,C00079
C02495,C00079
C02920,C00079
C12135,C00079
C00786,C00079
C10208,C00079
C12134,C00079
C12631,C00079
C10521,C00079
C05376,C00079
C12625,C00079
C15509,C00079
C10422,C00079
C15511,C00079
C15510,C00079
C01701,C00079
C15567,C00079
C16232,C00079
C16233,C00079
C14314,C00079
C14536,C00079
C16195,C00079
C16197,C00079
C10216,C00079
C16191,C00079
C16190,C00079
C12125,C00079
C10200,C00079
C10205,C00079
C10509,C00079
C16222,C00079
C16188,C00079
C16189,C00079
C16187,C00079
C10503,C00079
C16225,C00079
C16223,C00079
C16224,C00079
